# CDD199837:  DirectHits:  2    Rescued Proteins:  0    Prots with Domain in 9.B.306:  2 (11.1% from a total of 18)
# CDD227326:  DirectHits:  2    Rescued Proteins:  0    Prots with Domain in 9.B.306:  2 (11.1% from a total of 18)
# CDD199836:  DirectHits:  2    Rescued Proteins:  0    Prots with Domain in 9.B.306:  2 (11.1% from a total of 18)
# CDD199833:  DirectHits:  2    Rescued Proteins:  0    Prots with Domain in 9.B.306:  2 (11.1% from a total of 18)
# CDD274418:  DirectHits:  2    Rescued Proteins:  0    Prots with Domain in 9.B.306:  2 (11.1% from a total of 18)
# CDD199835:  DirectHits:  2    Rescued Proteins:  0    Prots with Domain in 9.B.306:  2 (11.1% from a total of 18)
# CDD199834:  DirectHits:  2    Rescued Proteins:  0    Prots with Domain in 9.B.306:  2 (11.1% from a total of 18)
# CDD199838:  DirectHits:  2    Rescued Proteins:  0    Prots with Domain in 9.B.306:  2 (11.1% from a total of 18)
# CDD433144:  DirectHits:  2    Rescued Proteins:  0    Prots with Domain in 9.B.306:  2 (11.1% from a total of 18)
1	9.B.306.1.1-OQY35587:152	CDD433144|Nohit	CDD199838|Nohit	CDD199834|Nohit	CDD199835|Nohit	CDD274418|Nohit	CDD199833|Nohit	CDD199836|Nohit	CDD199837|Nohit	CDD227326|Nohit
2	9.B.306.1.2-PKO14346:146	CDD433144|Nohit	CDD199838|Nohit	CDD199834|Nohit	CDD199835|Nohit	CDD274418|Nohit	CDD199833|Nohit	CDD199836|Nohit	CDD199837|Nohit	CDD227326|Nohit
3	9.B.306.1.3-WP_116717487:514	CDD433144|Nohit	CDD199838|Nohit	CDD199834|Nohit	CDD199835|Nohit	CDD274418|Nohit	CDD199833|Nohit	CDD199836|Nohit	CDD199837|Nohit	CDD227326|Nohit
4	9.B.306.1.4-WP_068621973:144	CDD433144|Nohit	CDD199838|Nohit	CDD199834|Nohit	CDD199835|Nohit	CDD274418|Nohit	CDD199833|Nohit	CDD199836|Nohit	CDD199837|Nohit	CDD227326|Nohit
5	9.B.306.1.5-WP_014856593:149	CDD433144|Nohit	CDD199838|Nohit	CDD199834|Nohit	CDD199835|Nohit	CDD274418|Nohit	CDD199833|Nohit	CDD199836|Nohit	CDD199837|Nohit	CDD227326|Nohit
6	9.B.306.1.6-KXH70094:147	CDD433144|Nohit	CDD199838|Nohit	CDD199834|Nohit	CDD199835|Nohit	CDD274418|Nohit	CDD199833|Nohit	CDD199836|Nohit	CDD199837|Nohit	CDD227326|Nohit
7	9.B.306.1.7-SSC12738:65	CDD433144|Nohit	CDD199838|Nohit	CDD199834|Nohit	CDD199835|Nohit	CDD274418|Nohit	CDD199833|Nohit	CDD199836|Nohit	CDD199837|Nohit	CDD227326|Nohit
8	9.B.306.1.8-OGN96562:87	CDD433144|Nohit	CDD199838|Nohit	CDD199834|Nohit	CDD199835|Nohit	CDD274418|Nohit	CDD199833|Nohit	CDD199836|Nohit	CDD199837|Nohit	CDD227326|Nohit
9	9.B.306.1.9-OIP72973:156	CDD433144|Nohit	CDD199838|Nohit	CDD199834|Nohit	CDD199835|Nohit	CDD274418|Nohit	CDD199833|Nohit	CDD199836|Nohit	CDD199837|Nohit	CDD227326|Nohit
10	9.B.306.2.1-WP_056884399:140	CDD433144|Nohit	CDD199838|Nohit	CDD199834|Nohit	CDD199835|Nohit	CDD274418|Nohit	CDD199833|Nohit	CDD199836|Nohit	CDD199837|Nohit	CDD227326|Nohit
11	9.B.306.2.2-WP_075073052:148	CDD433144|Nohit	CDD199838|Nohit	CDD199834|Nohit	CDD199835|Nohit	CDD274418|Nohit	CDD199833|Nohit	CDD199836|Nohit	CDD199837|Nohit	CDD227326|Nohit
12	9.B.306.2.3-SSC11869:143	CDD433144|Nohit	CDD199838|Nohit	CDD199834|Nohit	CDD199835|Nohit	CDD274418|Nohit	CDD199833|Nohit	CDD199836|Nohit	CDD199837|Nohit	CDD227326|Nohit
13	9.B.306.2.4-KYK32636:152	CDD433144|Nohit	CDD199838|Nohit	CDD199834|Nohit	CDD199835|Nohit	CDD274418|Nohit	CDD199833|Nohit	CDD199836|Nohit	CDD199837|Nohit	CDD227326|Nohit
14	9.B.306.2.5-WP_024367557:155	CDD433144|Nohit	CDD199838|Nohit	CDD199834|Nohit	CDD199835|Nohit	CDD274418|Nohit	CDD199833|Nohit	CDD199836|Nohit	CDD199837|Nohit	CDD227326|Nohit
